id,name,url
1,60 to Escape,https://www.62escape.com/
2,Breakout Games,https://breakoutgames.com/
3,Breakout ND,https://www.breakoutnd.com/
4,Cabinet Mysteriis,https://cabinetmysteriis.ca/
5,Clue Pursuit,
6,Copper Cat Escape,https://www.coppercatescape.com/
7,Cryptex Branson Escape Rooms,
8,D.O.A. Escape Rooms,https://www.doaroomescape.com/
9,Doldrick’s Escape Room,https://www.doldricksescaperoom.com/
10,Enigma Adventures,https://enigmaadventures.com/
11,Enigma Escape Rooms,https://enigmabuffalo.com/
12,Escaparium,https://www.escaparium.ca/
13,Escape Artists KC,
14,Escape City,https://escapecity.ca/
15,Escape Code,https://www.escapecode.tv/
16,Escape Frenzy,
17,Escape in Time,https://www.escapeintimemadison.com/
18,Escape MSP,
19,Escape Room Alexandria,https://www.escapealexandria.com/
20,Escape Room Palm Springs,https://escapeps.com/
21,Escape the Room,
22,Escapology,https://www.escapology.com/
23,Exit Escape Room NYC,https://www.exitescaperoomnyc.com/
24,Fox in the Box,
25,Grand Haven Room Escape,
26,Greatest Caper,https://thegreatestcaper.com/
27,Itasca Historical Society,https://www.grescaperooms.com/
28,Kato Escape,
29,Lock & Key Escape Rooms,https://lockandkeyescape.com/
30,Mad Machines,https://madmachines.it/
31,Maine Escape Games,https://web.archive.org/web/20160320072900/http://maineescapegames.com/
32,Missing Pieces Escape Games,https://www.missingpiecesmn.com/
33,Mission Manor,https://www.missionmanor.com/
34,Nemesis Club,https://thenemesisclub.com/
35,No Esc Puzzle Collective,https://no-esc.com/
36,Puzzled Escape Rooms,https://puzzledescaperooms.com/
37,Puzzleworks,https://www.puzzle.works/
38,Red Herring Escape Room,
39,Reykjavik Escape,https://www.reykjavikescape.is/
40,Solve Escape Rooms,https://solveescaperooms.com/
41,The Escape Game,https://theescapegame.com/
42,Tick Tock Escape Games,
43,Timescape,https://timescapegames.com/
44,Trapped Puzzle Rooms,https://www.trappedpuzzlerooms.com/
45,Twisted Room Escapes,https://www.twistedroomescapes.com/
46,Zero Hour Escape Rooms,https://minneapolis.zerohourescaperooms.com/
