id,game,company_id,company_name,date,status,win,escapeTime,city,region,country,lat,lng,companyUrl,blogUrl,mortyId,tags,players,notes,photoUrl
1,The Library,44,Trapped Puzzle Rooms,2016-07-11,completed,true,,Minneapolis,Minnesota,US,44.9778,-93.265,https://www.trappedpuzzlerooms.com/,,34804,,"Jamie, Tammy",,
2,The Maine Room,31,Maine Escape Games,2016-07-29,completed,false,,Portland,Maine,US,43.6591,-70.2568,https://web.archive.org/web/20160320072900/http://maineescapegames.com/,https://www.thingelstad.com/2016/07/30/025230.html,10292,,"Jamie, Tammy",,/images/rooms/2.jpg
3,Dupree’s Office,18,Escape MSP,2016-08-24,completed,true,,Minneapolis,Minnesota,US,44.9778,-93.265,,,11677,,,First room with Mazie,
4,The Bunker,24,Fox in the Box,2016-10-02,completed,false,,Chicago,Illinois,US,41.8781,-87.6298,,,8254,,,First room with Tyler,
5,James Bond,21,Escape the Room,2016-12-22,completed,false,,Minneapolis,Minnesota,US,44.9778,-93.265,,,2542,,,With Olson Family Adults,
6,The Zen Room,5,Clue Pursuit,2016-12-31,completed,false,,Springfield,Missouri,US,37.209,-93.2923,,,35179,,"Eric, Lisa, Rachel",,
7,Ivan’s Will,28,Kato Escape,2017-01-15,completed,false,,Mankato,Minnesota,US,44.1636,-93.9994,,,,,,With the Keatings,
8,Mad Tea Party,46,Zero Hour Escape Rooms,2017-06-04,completed,false,,St. Paul,Minnesota,US,44.9537,-93.09,,,4896,,"Mazie, Gigi, Ellie, Anna",,
9,Barber Shop,25,Grand Haven Room Escape,2017-06-29,completed,true,57m 10s,Grand Haven,Michigan,US,43.0631,-86.2284,,https://www.thingelstad.com/2017/06/29/180623.html,4453,,,,/images/rooms/9.jpg
10,The Oval-ish Office,38,Red Herring Escape Room,2017-08-20,completed,false,,St. Louis,Missouri,US,38.627,-90.1994,,,3927,,,,
11,A Very Potter Escape Room,44,Trapped Puzzle Rooms,2017-12-10,completed,true,54m 0s,St. Paul,Minnesota,US,44.9537,-93.09,https://www.trappedpuzzlerooms.com/,,10173,,,With the Thiegs,
