,date_played,game,company,location,escaped,time_elapsed,users,game_id
0,2016−7−11,The Library,Trapped Puzzle Rooms,"Minneapolis, MN",True,,"jthingelstad, tkorocks",34804
1,2016−7−29,The Maine Room,Maine Escape Games,"Portland, ME",False,,"jthingelstad, tkorocks",10292
2,2016−8−24,Dupree’s Office,Escape MSP,"Minneapolis, MN",True,,"jthingelstad, tkorocks",11677
3,2016−10−2,The Bunker,Fox in the Box,"Chicago, IL",False,,"jthingelstad, tkorocks",8254
4,2016−12−22,James Bond,Escape the Room,"Minneapolis, MN",False,,"jthingelstad, tkorocks",2542
5,2016−12−31,The Zen Room,Clue Pursuit,"Springfield, MO",False,,"jthingelstad, tkorocks",35179
6,2017−1−15,Ivan’s Will,Kato Escape,"Mankato, MN",False,,"jthingelstad, tkorocks",
7,2017−6−4,Mad Tea Party,Zero Hour Escape Rooms,"St. Paul, MN",False,,"jthingelstad, tkorocks",4896
8,2017−6−29,Barber Shop,Grand Haven Room Escape,"Grand Haven, MI",True,57m 10s,"jthingelstad, tkorocks",4453
9,2017−8−20,The Oval-ish Office,Red Herring Escape Room,"St. Louis, MO",False,,"jthingelstad, tkorocks",3927
10,2017−12−10,A Very Potter Escape Room,Trapped Puzzle Rooms,"St. Paul, MN",True,54m 0s,"jthingelstad, tkorocks",10173
11,2018−4−1,The Circus,D.O.A. Escape Rooms,"Wisconsin Dells, WI",True,,"jthingelstad, tkorocks",5032
12,2018−4−5,Gold Rush,The Escape Game,"Chicago, IL",False,,"jthingelstad, tkorocks",5936
13,2018−5−5,Enchanted Forest,Zero Hour Escape Rooms,"Duluth, MN",True,,"jthingelstad, tkorocks",40416
14,2018−5−20,Mission: Mars,The Escape Game,"Chicago, IL",True,,"jthingelstad, tkorocks",2791
15,2018−6−25,The Search for Atlantis,Escape Frenzy,"Edina, MN",True,,"jthingelstad, tkorocks",1014
16,2018−7−27,Ruin Raiders,Missing Pieces Escape Games,"Edina, MN",True,,"jthingelstad, tkorocks",4593
17,2018−8−12,The Wall,Enigma Escape Rooms,"Buffalo, NY",True,57m 53s,"jthingelstad, tkorocks",
18,2018−9−9,It’s All Fun & Games,Trapped Puzzle Rooms,"Minneapolis, MN",False,,"jthingelstad, tkorocks",2255
19,2018−11−24,Final Frontier,Missing Pieces Escape Games,"Edina, MN",False,,"jthingelstad, tkorocks",1470
20,2018−11−24,Final Frontier,Missing Pieces Escape Games,"Edina, MN",False,,"jthingelstad, tkorocks",1470
21,2019−1−6,Final Frontier,Missing Pieces Escape Games,"Edina, MN",True,,"jthingelstad, tkorocks",1470
22,2019−1−6,Final Frontier,Missing Pieces Escape Games,"Edina, MN",True,,"jthingelstad, tkorocks",1470
23,2018−12−5,Spies vs. Spies,Trapped Puzzle Rooms,"St. Paul, MN",False,,"jthingelstad, tkorocks",45488
24,2018−12−5,Spies vs. Spies,Trapped Puzzle Rooms,"St. Paul, MN",False,,"jthingelstad, tkorocks",45488
25,2018−12−20,Spies vs. Spies,Trapped Puzzle Rooms,"St. Paul, MN",False,,"jthingelstad, tkorocks",45488
